iter_times,ppm,dc_current,psrr
1,39.3,3.98e-05,69.64
2,39.3,3.98e-05,69.64
3,39.3,3.98e-05,69.64
4,39.3,3.98e-05,69.64
5,39.3,3.98e-05,69.64
6,39.3,3.98e-05,69.64
7,39.3,3.98e-05,69.64
8,39.3,3.98e-05,69.64
9,39.3,3.98e-05,69.64
10,39.3,3.98e-05,69.64
11,39.3,3.98e-05,69.64
12,39.3,3.98e-05,69.64
13,39.3,3.98e-05,69.64
14,39.3,3.98e-05,69.64
15,39.3,3.98e-05,69.64
16,39.3,3.98e-05,69.64
17,39.3,3.98e-05,69.64
18,39.3,3.98e-05,69.64
19,39.3,3.98e-05,69.64
20,39.3,3.98e-05,69.64
21,39.3,3.98e-05,69.64
22,39.3,3.98e-05,69.64
23,39.3,3.98e-05,69.64
24,39.3,3.98e-05,69.64
25,39.3,3.98e-05,69.64
26,39.3,3.98e-05,69.64
27,39.3,3.98e-05,69.64
28,39.3,3.98e-05,69.64
29,39.3,3.98e-05,69.64
30,39.3,3.98e-05,69.64
31,39.3,3.98e-05,69.64
32,39.3,3.98e-05,69.64
33,39.3,3.98e-05,69.64
34,39.3,3.98e-05,69.64
35,39.3,3.98e-05,69.64
36,39.3,3.98e-05,69.64
37,39.3,3.98e-05,69.64
38,39.3,3.98e-05,69.64
39,39.3,3.98e-05,69.64
40,39.3,3.98e-05,69.64
41,39.3,3.98e-05,69.64
42,39.3,3.98e-05,69.64
43,39.3,3.98e-05,69.64
44,39.3,3.98e-05,69.64
45,39.3,3.98e-05,69.64
46,39.3,3.98e-05,69.64
47,39.3,3.98e-05,69.64
48,39.3,3.98e-05,69.64
49,39.3,3.98e-05,69.64
50,39.3,3.98e-05,69.64
51,39.3,3.98e-05,69.64
52,39.3,3.98e-05,69.64
53,39.3,3.98e-05,69.64
54,39.3,3.98e-05,69.64
55,39.3,3.98e-05,69.64
56,39.3,3.98e-05,69.64
57,39.3,3.98e-05,69.64
58,39.3,3.98e-05,69.64
59,39.3,3.98e-05,69.64
60,39.3,3.98e-05,69.64
61,39.3,3.98e-05,69.64
62,39.3,3.98e-05,69.64
63,39.3,3.98e-05,69.64
64,39.3,3.98e-05,69.64
65,39.3,3.98e-05,69.64
66,39.3,3.98e-05,69.64
67,39.3,3.98e-05,69.64
68,39.3,3.98e-05,69.64
69,39.3,3.98e-05,69.64
70,39.3,3.98e-05,69.64
71,39.3,3.98e-05,69.64
72,39.3,3.98e-05,69.64
73,39.3,3.98e-05,69.64
74,39.3,3.98e-05,69.64
75,39.3,3.98e-05,69.64
76,39.3,3.98e-05,69.64
77,39.3,3.98e-05,69.64
78,39.3,3.98e-05,69.64
79,39.3,3.98e-05,69.64
80,39.3,3.98e-05,69.64
81,39.3,3.98e-05,69.64
82,39.3,3.98e-05,69.64
83,39.3,3.98e-05,69.64
84,39.3,3.98e-05,69.64
85,39.3,3.98e-05,69.64
86,39.3,3.98e-05,69.64
87,39.3,3.98e-05,69.64
88,39.3,3.98e-05,69.64
89,39.3,3.98e-05,69.64
90,39.3,3.98e-05,69.64
91,39.3,3.98e-05,69.64
92,39.3,3.98e-05,69.64
93,39.3,3.98e-05,69.64
94,39.3,3.98e-05,69.64
95,15.438573996466522,3.3695882786264054e-05,73.88207013943313
96,15.438573996466522,3.3695882786264054e-05,73.88207013943313
97,15.438573996466522,3.3695882786264054e-05,73.88207013943313
98,15.438573996466522,3.3695882786264054e-05,73.88207013943313
99,15.438573996466522,3.3695882786264054e-05,73.88207013943313
100,15.438573996466522,3.3695882786264054e-05,73.88207013943313
101,15.438573996466522,3.3695882786264054e-05,73.88207013943313
102,15.438573996466522,3.3695882786264054e-05,73.88207013943313
103,15.438573996466522,3.3695882786264054e-05,73.88207013943313
104,15.438573996466522,3.3695882786264054e-05,73.88207013943313
105,15.438573996466522,3.3695882786264054e-05,73.88207013943313
106,15.438573996466522,3.3695882786264054e-05,73.88207013943313
107,15.438573996466522,3.3695882786264054e-05,73.88207013943313
108,15.438573996466522,3.3695882786264054e-05,73.88207013943313
109,15.438573996466522,3.3695882786264054e-05,73.88207013943313
110,15.438573996466522,3.3695882786264054e-05,73.88207013943313
111,15.438573996466522,3.3695882786264054e-05,73.88207013943313
112,15.438573996466522,3.3695882786264054e-05,73.88207013943313
113,15.438573996466522,3.3695882786264054e-05,73.88207013943313
114,15.438573996466522,3.3695882786264054e-05,73.88207013943313
115,15.438573996466522,3.3695882786264054e-05,73.88207013943313
116,15.438573996466522,3.3695882786264054e-05,73.88207013943313
117,15.438573996466522,3.3695882786264054e-05,73.88207013943313
118,15.438573996466522,3.3695882786264054e-05,73.88207013943313
119,15.438573996466522,3.3695882786264054e-05,73.88207013943313
120,15.438573996466522,3.3695882786264054e-05,73.88207013943313
121,15.438573996466522,3.3695882786264054e-05,73.88207013943313
122,15.438573996466522,3.3695882786264054e-05,73.88207013943313
123,15.438573996466522,3.3695882786264054e-05,73.88207013943313
124,15.438573996466522,3.3695882786264054e-05,73.88207013943313
125,15.438573996466522,3.3695882786264054e-05,73.88207013943313
126,15.438573996466522,3.3695882786264054e-05,73.88207013943313
127,15.438573996466522,3.3695882786264054e-05,73.88207013943313
128,15.438573996466522,3.3695882786264054e-05,73.88207013943313
129,15.438573996466522,3.3695882786264054e-05,73.88207013943313
130,15.438573996466522,3.3695882786264054e-05,73.88207013943313
131,15.438573996466522,3.3695882786264054e-05,73.88207013943313
132,15.438573996466522,3.3695882786264054e-05,73.88207013943313
133,15.438573996466522,3.3695882786264054e-05,73.88207013943313
134,15.438573996466522,3.3695882786264054e-05,73.88207013943313
135,15.438573996466522,3.3695882786264054e-05,73.88207013943313
