iter_times,mean,var
1,0.00023449999999999998,3.030437198788175e-20
2,0.00020256182947104,2.355229101312101e-05
3,0.00020209200490804003,2.4217041445242073e-05
4,0.00020209200490804003,2.4217041445242073e-05
5,0.00020209200490804003,2.4217041445242073e-05
6,0.00020209200490804003,2.4217041445242073e-05
7,0.00020209200490804003,2.4217041445242073e-05
8,0.00016609343739572,2.722600764823701e-05
9,0.00016609343739572,2.722600764823701e-05
10,0.00016609343739572,2.722600764823701e-05
11,0.00015532806082918,1.6774919703660034e-05
12,0.00015532806082918,1.6774919703660034e-05
13,0.00015532806082918,1.6774919703660034e-05
14,0.00015532806082918,1.6774919703660034e-05
15,0.00015532806082918,1.6774919703660034e-05
16,0.00015532806082918,1.6774919703660034e-05
17,0.00015532806082918,1.6774919703660034e-05
18,0.00015345699592788,1.4523915108370464e-05
19,0.00015345699592788,1.4523915108370464e-05
20,0.00015345699592788,1.4523915108370464e-05
21,0.00015345699592788,1.4523915108370464e-05
22,0.0001423560529597,7.64750149681854e-06
23,0.00013522768281196,1.1569095872448576e-05
24,0.00012677880977292,9.44612722427933e-06
25,0.0001225543732534,0.0
26,0.00012153998991266,2.268230105137979e-06
27,0.0001203680610362,3.006657853036379e-06
28,0.00011603423353744,6.829954427360264e-06
29,0.00011579715714088001,6.5623833701276975e-06
30,0.00011579715714088001,6.5623833701276975e-06
31,0.00011579715714088001,6.5623833701276975e-06
32,0.00011579715714088001,6.5623833701276975e-06
33,0.00011579715714088001,6.5623833701276975e-06
34,0.00011579715714088001,6.5623833701276975e-06
35,0.00011579715714088001,6.5623833701276975e-06
36,0.00011308345970096,7.813181941900706e-06
37,0.00011308345970096,7.813181941900706e-06
38,0.00011156411657281999,6.412208366005867e-06
39,0.00011156411657281999,6.412208366005867e-06
40,0.00011127121490376,6.121875550283381e-06
41,0.00011127121490376,6.121875550283381e-06
42,0.00011127121490376,6.121875550283381e-06
43,0.00011127121490376,6.121875550283381e-06
44,0.00011101362725056,5.814573875270086e-06
45,0.00011101362725056,5.814573875270086e-06
46,0.00010881113231048683,6.79505704623035e-06
47,0.0001076644997672068,6.476333694952074e-06
