iter_times,gain(db),dc_current,phase,GBW(MHZ)
1,117.7462,0.0002968,72.0,4494000.0
2,107.63924265676465,0.0002873288335848098,78.58064322941642,6097172.570634352
3,107.63924265676465,0.0002873288335848098,78.58064322941642,6097172.570634352
4,107.63924265676465,0.0002873288335848098,78.58064322941642,6097172.570634352
5,107.63924265676465,0.0002873288335848098,78.58064322941642,6097172.570634352
6,107.63924265676465,0.0002873288335848098,78.58064322941642,6097172.570634352
7,107.63924265676465,0.0002873288335848098,78.58064322941642,6097172.570634352
8,107.63924265676465,0.0002873288335848098,78.58064322941642,6097172.570634352
9,119.75773994969325,0.00019704376443307873,69.72119912367125,2786896.1906921025
10,122.06404005901808,0.0001742102447554012,68.36347992763997,2741552.0605408703
11,127.61871182313016,0.00013094131037349476,81.64794871434549,2858857.301922367
12,127.61871182313016,0.00013094131037349476,81.64794871434549,2858857.301922367
13,127.61871182313016,0.00013094131037349476,81.64794871434549,2858857.301922367
14,127.61871182313016,0.00013094131037349476,81.64794871434549,2858857.301922367
15,127.61871182313016,0.00013094131037349476,81.64794871434549,2858857.301922367
16,127.61871182313016,0.00013094131037349476,81.64794871434549,2858857.301922367
17,127.61871182313016,0.00013094131037349476,81.64794871434549,2858857.301922367
18,127.61871182313016,0.00013094131037349476,81.64794871434549,2858857.301922367
19,127.61871182313016,0.00013094131037349476,81.64794871434549,2858857.301922367
20,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
21,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
22,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
23,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
24,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
25,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
26,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
27,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
28,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
29,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
30,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
31,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
32,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
33,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
34,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
35,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
36,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
37,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
38,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
39,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
40,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
41,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
42,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
43,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
44,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
45,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
46,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
47,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
48,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
49,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
50,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
51,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
52,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
53,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
54,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
55,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
56,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
57,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
58,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
59,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
60,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
61,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
62,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
63,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
64,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
65,128.98001198581454,0.00011573469168067873,68.82524075525077,2416840.415814951
